date_post,date_extraction,influencer,post_type,post_url,platform,comment,comment_likecount,replies,BU;;;;;;;;;
2021-11-4,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=PTN4omnwOyw,Youtube,Hey great information,0,,CS;;;;;;;;;
2021-11-4,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=PTN4omnwOyw,Youtube,ENABLE SUBTITLES PLEASEEEEEEEEEEEEEEEEEEEEEE...........,0,,CS;;;;;;;;;
2021-11-4,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=PTN4omnwOyw,Youtube,Thanks,0,,CS;;;;;;;;;
2021-11-4,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=PTN4omnwOyw,Youtube,👍,0,,CS;;;;;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""Excellent video ! Like, comment and share. 💪 + Carnivore diet (keto), wim hof breathing (suppression IL6, TNF-a...), cold Water, mental health... sooooo powerfull addition🙏"",0,Have you had your Microbiome tested after long term Carnivore diet? Would be fascinated to see where it sits and what bacteria its driving to extinction?,CS";;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,I hit the like before watching the video 😂,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,The Greatest,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Perfect perfect perfect perfect perfect,0,,CS;;;;;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""Excellent teaching, Sir."",0,,CS";;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,I appreciate my lovely husband for directing me to this holistic herbalist called Dr alaho olu i met on YouTube. He cured my herpes simplex virus…,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Hi Sir. Your videos are amazing. I really appreciate the efforts you put in to make such great vidoes. Your videos really helped me during my entrance preparation for post-graduation. Thank you very much. I am planning to take Dermatology sir. I need your guidance. Is there any way I can contact you?,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Great,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,A Medical student AND a Crohn’s patient here... thank you from both perspectives :)<br>Didn’t watch yet but I’m sure it’ll be as amazing as always !,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Upload lectures on HIV and AIDS,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Please I need meiosis!!!,0,,CS;;;;;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""Thank you so so much,  <br>Sir, Pleasssssse&#39";" ulcerative colitis"",0,,CS";;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Great video as always guys ❤️,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,I love you,0,,CS;;;;;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""I have had Crohn&#39";s and UC for over 20 years.  I developed adenocarcinoma and had the entire large bowel and 2 ft of small bowel. Left with an ileostomy.  Crohn&#39;s is definitely a genetic predisposition in my family.  My interest is in the epigenetic switches that are involved in this situation.  My disease sparked my interest in nursing.  Many in my family were veterans during the Vietnam Era, and I&#39;"m convinced that agent orange caused gene mutation."",0,@Jarrod Hall  it’s not my job to do his homework.,CS";;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,The heavy or frequent use of antibiotics could be a part of the problem.,0,,CS;;;;;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""This is brilliant material, great visuals and perfectly timed to the world of taking control of your illness through self education rather than outsourcing to specialist&#39";"s that use outdated playbooks!"",0,,CS";;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,I like your cool videos,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,pls explain ulcerative colitis also,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Getting rid of herpes virus was hard for me I had HSV for years and then I came across  Dr Idakwo on YouTube who used his herbs to cure me and now I’m cured,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,You are amazing man,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,lets go brother ! youre perfect ! plz give more free videos !,0,,CS;;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Ninja nerd I&#39;m so happy that you choose that subject today. First comment!!! For the first time. LoL. Please next talk about ulcerative colitis,0,Ulcerative Colitis is next to be released! Hoping to get this done as soon as we can! 😀,CS;;;;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""I have had Crohn&#39";s and UC for over 20 years.  I developed adenocarcinoma and had the entire large bowel and 2 ft of small bowel. Left with an ileostomy.  Crohn&#39;s is definitely a genetic predisposition in my family.  My interest is in the epigenetic switches that are involved in this situation.  My disease sparked my interest in nursing.  Many in my family were veterans during the Vietnam Era, and I&#39;"m convinced that agent orange caused gene mutation."",0,@Lean GroundBeef your the one asking where the evidence is that herbs work and there&#39";s plenty if you know how to use Google.,CS;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""You’ve forgotten to include another treatment pathway being triple antibiotic therapy which includes Claritjromycin, Rifabutin and Clofazimine plus sometimes Metronidazole. There is 20 year body of research showing this combination can induce remission in up to 80% of patients by targeting the gut bacteria believed to be implicated in the inflammatory process. This should at least be tried as a last resort before surgery."",0,,CS";;;;;;;;;
2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,You are amazing man. Thanks for this topic..<br>We need Ulcerative colitis also....,0,,CS;;;;;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""Zach, please make some lectures about histology. Thanks beforehand!"",0,,CS";;;;;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""Dr osaba cure all kinds of diseases such as HIV, HERPES virus, CANCER, DIABETES, FIBROID , HPV, STD, you can reach out to Dr osaba on his YouTube channel ."",0,,CS";;;;;;;;;
"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""Just writing an essay about crohns and uc for my assignment, this is quite helpful for me to check I’ve put everything correctly. 👍"",0,,CS";;;;;;;;;
